t                 field             
    3.59359359E+01    9.63444428E-01
    3.60360360E+01    9.91508641E-01
    3.61361361E+01    9.99938839E-01
    3.62362362E+01    9.88398265E-01
    3.63363363E+01    9.57347923E-01
    3.64364364E+01    9.08028163E-01
    3.65365365E+01    8.42409135E-01
    3.66366366E+01    7.63112085E-01
    3.67367367E+01    6.73304645E-01
    3.68368368E+01    5.76574303E-01
    3.69369369E+01    4.76785092E-01
    3.70370370E+01    3.77923233E-01
    3.71371371E+01    2.83937905E-01
    3.72372372E+01    1.98583487E-01
    3.73373373E+01    1.25269582E-01
    3.74374374E+01    6.69248206E-02
    3.75375375E+01    2.58798666E-02
    3.76376376E+01    3.77431986E-03
    3.77377377E+01    1.49121790E-03
    3.78378378E+01    1.91217626E-02
    3.79379379E+01    5.59616765E-02
    3.80380380E+01    1.10539337E-01
    3.81381381E+01    1.80674560E-01
    3.82382382E+01    2.63565695E-01
    3.83383383E+01    3.55901537E-01
    3.84384384E+01    4.53993598E-01
    3.85385385E+01    5.53923451E-01
    3.86386386E+01    6.51699254E-01
    3.87387387E+01    7.43415214E-01
    3.88388388E+01    8.25407604E-01
    3.89389389E+01    8.94401122E-01
    3.90390390E+01    9.47639723E-01
    3.91391391E+01    9.82996715E-01
    3.92392392E+01    9.99059712E-01
    3.93393393E+01    9.95187054E-01
    3.94394394E+01    9.71533441E-01
    3.95395395E+01    9.29043750E-01
    3.96396396E+01    8.69415293E-01
    3.97397397E+01    7.95030013E-01
    3.98398398E+01    7.08859337E-01
    3.99399399E+01    6.14345476E-01
    4.00400400E+01    5.15263921E-01
    4.01401401E+01    4.15572628E-01
    4.02402402E+01    3.19253906E-01
    4.03403403E+01    2.30155346E-01
    4.04404404E+01    1.51836116E-01
    4.05405405E+01    8.74247913E-02
    4.06406406E+01    3.94943735E-02
    4.07407407E+01    9.95951178E-03
    4.08408408E+01    1.85897335E-08
    4.09409409E+01    1.00137401E-02
    4.10410410E+01    3.96006639E-02
    4.11411411E+01    8.75788979E-02
    4.12412412E+01    1.52031883E-01
    4.13413413E+01    2.30384952E-01
    4.14414414E+01    3.19508181E-01
    4.15415415E+01    4.15841413E-01
    4.16416416E+01    5.15536480E-01
    4.17417417E+01    6.14610921E-01
    4.18418418E+01    7.09107064E-01
    4.19419419E+01    7.95250127E-01
    4.20420420E+01    8.69599000E-01
    4.21421421E+01    9.29183713E-01
    4.22422422E+01    9.71624068E-01
    4.23423423E+01    9.95224725E-01
    4.24424424E+01    9.99042922E-01
    4.25425425E+01    9.82926135E-01
    4.26426426E+01    9.47518173E-01
    4.27427427E+01    8.94233456E-01
    4.28428428E+01    8.25200521E-01
    4.29429429E+01    7.43176985E-01
    4.30430430E+01    6.51439397E-01
    4.31431431E+01    5.53652345E-01
    4.32432432E+01    4.53722074E-01
    4.33433433E+01    3.55640440E-01
    4.34434434E+01    2.63325456E-01
    4.35435435E+01    1.80464775E-01
    4.36436436E+01    1.10368386E-01
    4.37437437E+01    5.58363889E-02
    4.38438438E+01    1.90471431E-02
    4.39439439E+01    1.47024733E-03
    4.40440440E+01    3.80783585E-03
    4.41441441E+01    2.59665304E-02
    4.42442442E+01    6.70611701E-02
    4.43443443E+01    1.25450171E-01
    4.44444444E+01    1.98801101E-01
    4.45445445E+01    2.84183851E-01
    4.46446446E+01    3.78187687E-01
    4.47447447E+01    4.77057489E-01
    4.48448448E+01    5.76843763E-01
    4.49449449E+01    6.73560403E-01
    4.50450450E+01    7.63343925E-01
    4.51451451E+01    8.42607796E-01
    4.52452452E+01    9.08185709E-01
    4.53453453E+01    9.57458060E-01
    4.54454454E+01    9.88456594E-01
    4.55455455E+01    9.99943030E-01
    4.56456456E+01    9.91458526E-01
    4.57457457E+01    9.63342009E-01
    4.58458458E+01    9.16716632E-01
    4.59459459E+01    8.53444913E-01
    4.60460460E+01    7.76054331E-01
    4.61461461E+01    6.87636364E-01
